year,avg_mpg_4cyl,avg_mpg_6cyl,avg_mpg_8cyl,avg_comb_mpg_overall
1984,22.4707182320442,16.794685990338163,13.30813953488372,19.12162162162162
1985,22.70113493064313,17.052995391705068,13.529616724738675,19.389357560025957
1986,22.54884547069272,17.126182965299684,13.85589519650655,19.321616871704745
1987,22.266775777414075,17.061433447098977,13.43089430894309,19.164567590260287
1988,22.564638783269963,17.38153846153846,13.748815165876778,19.367606915377618
1989,22.325047801147228,17.08454810495627,13.654205607476635,19.141964285714284
1990,22.071578947368423,17.106382978723403,13.730392156862745,19.031458531935176
1991,22.070212765957447,17.07336956521739,13.760765550239235,18.838060384263496
1992,22.285067873303166,17.114634146341462,13.990196078431373,18.861566484517304
1993,22.662763466042154,17.412048192771085,14.010582010582011,19.137383177570094
1994,22.7707182320442,17.610079575596817,14.303370786516854,19.09263157894737
1995,23.201892744479494,17.82010582010582,14.339805825242719,18.87259100642398
1996,23.36156351791531,17.91275167785235,14.708029197080291,19.530961791831356
1997,23.274914089347078,17.833333333333332,14.778571428571428,19.368
1998,23.01948051948052,17.99009900990099,14.774834437086092,19.329545454545453
1999,23.126666666666665,18.04191616766467,14.829268292682928,19.23975903614458
2000,22.96875,17.95575221238938,15.174698795180722,19.185454545454544
2001,22.97635135135135,17.88860759493671,15.167664670658683,19.159014557670773
2002,23.044067796610168,17.963386727688786,15.005154639175258,18.963541666666668
2003,23.151315789473685,18.075723830734965,14.886075949367088,18.819417475728155
2004,23.26058631921824,18.320083682008367,15.28125,18.9818676337262
2005,23.207831325301203,18.405857740585773,15.34375,19.074978204010463
2006,22.88111888111888,18.69928400954654,15.395759717314487,18.86563071297989
2007,23.401408450704224,18.946386946386948,15.470394736842104,18.960644007155636
2008,24.036666666666665,19.090308370044053,15.442724458204335,19.19439728353141
2009,24.41317365269461,19.279518072289157,15.886153846153846,19.672929120409908
2010,25.11407681564246,19.687445959595962,16.237343724696355,20.501677879341862
2011,25.4869347107438,20.058929032258064,16.14252435424354,20.690114079422383
2012,26.207646347607053,20.467196062992127,16.25600218978102,21.270202133333335
2013,27.118293918918916,20.778463129973474,16.499051459854016,22.094338153310105
2014,27.48797772828508,21.09483930348259,16.448995075757576,22.397912436115842
2015,27.264946963562753,21.158473269689736,16.964759003831418,22.68488987755102
2016,27.50951354961832,21.032949144254278,17.435115887850465,23.157810871369296
2017,27.521693430656935,21.074239268292683,17.3674009478673,23.28023373590982
2018,27.538728621908128,21.18165563218391,17.58410807174888,23.353356065318817
2019,27.67119328621908,21.028085547785548,17.390761637931035,23.35074194053208
2020,27.830310074626865,21.192248228882836,17.35395914893617,23.36657608695652
2021,27.672886866791746,21.043026627218936,17.019109469696968,23.156171166666667
2022,27.68771479400749,20.948215877437324,16.822567886178863,23.151037395659433
2023,27.543138385826772,20.763393783783783,16.939397663551404,23.10391044003451
2024,27.578005615550754,20.69696883116883,16.771205325443788,23.353680243161094
2025,27.992984017278616,20.79032857142857,16.911072,23.92820366666667
