year,total_count,guzzler_count,guzzler_percentage,yoy_change
1984,1702,35,2.056404230317274,
1985,1541,35,2.2712524334847504,0.21484820316747655
1986,1138,35,3.0755711775043935,0.8043187440196431
1987,1191,60,5.037783375314862,1.9622121978104685
1988,1099,42,3.821656050955414,-1.216127324359448
1989,1120,66,5.892857142857142,2.0712010919017283
1990,1049,56,5.338417540514776,-0.5544396023423666
1991,1093,99,9.057639524245197,3.719221983730421
1992,1098,97,8.83424408014572,-0.2233954440994772
1993,1070,75,7.009345794392523,-1.8248982857531963
1994,950,46,4.842105263157895,-2.1672405312346283
1995,934,64,6.852248394004283,2.010143130846388
1996,759,25,3.293807641633729,-3.558440752370554
1997,750,34,4.533333333333333,1.2395256916996042
1998,792,36,4.545454545454546,0.012121212121212643
1999,830,37,4.457831325301205,-0.08762322015334068
2000,825,37,4.484848484848484,0.027017159547279235
2001,893,42,4.703247480403135,0.2183989955546508
2002,960,49,5.104166666666667,0.40091918626353173
2003,1030,73,7.087378640776699,1.9832119741100325
2004,1103,72,6.527651858567543,-0.5597267822091565
2005,1147,95,8.282476024411508,1.7548241658439654
2006,1094,92,8.409506398537477,0.12703037412596885
2007,1118,96,8.586762075134168,0.1772556765966904
2008,1178,110,9.337860780984721,0.7510987058505538
2009,1171,102,8.710503842869342,-0.6273569381153798
2010,1094,96,8.775137111517367,0.06463326864802532
2011,1108,96,8.664259927797833,-0.11087718371953414
2012,1125,93,8.266666666666666,-0.397593261131167
2013,1148,81,7.055749128919861,-1.2109175377468047
2014,1174,92,7.836456558773425,0.7807074298535639
2015,1225,86,7.020408163265306,-0.816048395508119
2016,1205,71,5.892116182572614,-1.1282919806926923
2017,1242,72,5.797101449275362,-0.0950147332972513
2018,1286,64,4.976671850699844,-0.8204295985755179
2019,1278,61,4.773082942097027,-0.20358890860281775
2020,1196,71,5.936454849498328,1.1633719074013014
2021,1200,68,5.666666666666666,-0.26978818283166195
2022,1198,67,5.592654424040067,-0.07401224262659944
2023,1159,77,6.643658326143227,1.0510039021031607
2024,987,56,5.673758865248227,-0.9698994608950002
2025,900,40,4.444444444444445,-1.2293144208037825
